Date,H16
2014-01-01,25
2014-01-02,24
2014-01-03,29
2014-01-04,34
2014-01-05,20
2014-01-06,30
2014-01-07,28
2014-01-08,23
2014-01-09,23
2014-01-10,2
2014-01-11,22
2014-01-12,30
2014-01-13,25
2014-01-14,28
2014-01-15,23
2014-01-16,25
2014-01-17,30
2014-01-18,24
2014-01-19,28
2014-01-20,32
2014-01-21,30
2014-01-22,28
2014-01-23,31
2014-01-24,33
2014-01-25,38
2014-01-26,34
2014-01-27,34
2014-01-28,28
2014-01-29,28
2014-01-30,29
2014-01-31,26
2014-02-01,6
2014-02-02,36
2014-02-03,34
2014-02-04,34
2014-02-05,34
2014-02-06,34
2014-02-07,32
2014-02-08,33
2014-02-09,30
2014-02-10,37
2014-02-11,31
2014-02-12,41
2014-02-13,26
2014-02-14,37
2014-02-15,36
2014-02-16,36
2014-02-17,33
2014-02-18,46
2014-02-19,40
2014-02-20,22
2014-02-21,37
2014-02-22,43
2014-02-23,47
2014-02-24,36
2014-02-25,35
2014-02-26,38
2014-02-27,35
2014-02-28,37
2014-03-01,23
2014-03-02,40
2014-03-03,32
2014-03-04,30
2014-03-05,38
2014-03-06,32
2014-03-07,49
2014-03-08,45
2014-03-09,49
2014-03-10,47
2014-03-11,48
2014-03-12,33
2014-03-13,35
2014-03-14,51
2014-03-15,36
2014-03-16,37
2014-03-17,36
2014-03-18,37
2014-03-19,24
2014-03-20,42
2014-03-21,42
2014-03-22,41
2014-03-23,30
2014-03-24,35
2014-03-25,41
2014-03-26,37
2014-03-27,36
2014-03-28,25
2014-03-29,22
2014-03-30,46
2014-03-31,24
2014-04-01,40
2014-04-02,38
2014-04-03,25
2014-04-04,24
2014-04-05,39
2014-04-06,52
2014-04-07,22
2014-04-08,54
2014-04-09,46
2014-04-10,54
2014-04-11,35
2014-04-12,36
2014-04-13,45
2014-04-14,43
2014-04-15,31
2014-04-16,39
2014-04-17,36
2014-04-18,24
2014-04-19,36
2014-04-20,22
2014-04-21,67
2014-04-22,30
2014-04-23,47
2014-04-24,47
2014-04-25,34
2014-04-26,31
2014-04-27,44
2014-04-28,28
2014-04-29,11
2014-04-30,20
2014-05-01,43
2014-05-02,16
2014-05-03,35
2014-05-04,38
2014-05-05,38
2014-05-06,29
2014-05-07,32
2014-05-08,39
2014-05-09,46
2014-05-10,52
2014-05-11,55
2014-05-12,30
2014-05-13,18
2014-05-14,18
2014-05-15,34
2014-05-16,34
2014-05-17,39
2014-05-18,54
2014-05-19,66
2014-05-20,54
2014-05-21,26
2014-05-22,33
2014-05-23,24
2014-05-24,43
2014-05-25,52
2014-05-26,74
2014-05-27,51
2014-05-28,20
2014-05-29,21
2014-05-30,47
2014-05-31,38
2014-06-01,30
2014-06-02,45
2014-06-03,62
2014-06-04,40
2014-06-05,30
2014-06-06,47
2014-06-07,43
2014-06-08,30
2014-06-09,36
2014-06-10,33
2014-06-11,22
2014-06-12,50
2014-06-13,41
2014-06-14,31
2014-06-15,17
2014-06-16,19
2014-06-17,58
2014-06-18,53
2014-06-19,31
2014-06-20,21
2014-06-21,30
2014-06-22,30
2014-06-23,24
2014-06-24,52
2014-06-25,24
2014-06-26,51
2014-06-27,46
2014-06-28,54
2014-06-29,42
2014-06-30,49
2014-07-01,48
2014-07-02,41
2014-07-03,35
2014-07-04,30
2014-07-05,49
2014-07-06,60
2014-07-07,50
2014-07-08,40
2014-07-09,32
2014-07-10,26
2014-07-11,34
2014-07-12,62
2014-07-13,46
2014-07-14,22
2014-07-15,43
2014-07-16,18
2014-07-17,38
2014-07-18,40
2014-07-19,13
2014-07-20,30
2014-07-21,60
2014-07-22,58
2014-07-23,30
2014-07-24,39
2014-07-25,50
2014-07-26,50
2014-07-27,47
2014-07-28,23
2014-07-29,25
2014-07-30,33
2014-07-31,39
2014-08-01,55
2014-08-02,56
2014-08-03,54
2014-08-04,42
2014-08-05,23
2014-08-06,43
2014-08-07,39
2014-08-08,23
2014-08-09,28
2014-08-10,25
2014-08-11,48
2014-08-12,44
2014-08-13,30
2014-08-14,30
2014-08-15,34
2014-08-16,49
2014-08-17,31
2014-08-18,22
2014-08-19,24
2014-08-20,44
2014-08-21,42
2014-08-22,35
2014-08-23,25
2014-08-24,29
2014-08-25,46
2014-08-26,54
2014-08-27,29
2014-08-28,32
2014-08-29,38
2014-08-30,67
2014-08-31,44
2014-09-01,39
2014-09-02,28
2014-09-03,50
2014-09-04,58
2014-09-05,61
2014-09-06,22
2014-09-07,26
2014-09-08,40
2014-09-09,28
2014-09-10,35
2014-09-11,18
2014-09-12,20
2014-09-13,23
2014-09-14,29
2014-09-15,25
2014-09-16,32
2014-09-17,44
2014-09-18,16
2014-09-19,28
2014-09-20,56
2014-09-21,41
2014-09-22,21
2014-09-23,36
2014-09-24,32
2014-09-25,37
2014-09-26,30
2014-09-27,49
2014-09-28,41
2014-09-29,40
2014-09-30,24
2014-10-01,11
2014-10-02,32
2014-10-03,40
2014-10-04,26
2014-10-05,26
2014-10-06,36
2014-10-07,28
2014-10-08,25
2014-10-09,26
2014-10-10,25
2014-10-11,33
2014-10-12,29
2014-10-13,9
2014-10-14,22
2014-10-15,10
2014-10-16,28
2014-10-17,27
2014-10-18,21
2014-10-19,31
2014-10-20,22
2014-10-21,11
2014-10-22,11
2014-10-23,35
2014-10-24,29
2014-10-25,34
2014-10-26,24
2014-10-27,9
2014-10-28,38
2014-10-29,14
2014-10-30,24
2014-10-31,15
2014-11-01,25
2014-11-02,32
2014-11-03,33
2014-11-04,34
2014-11-05,18
2014-11-06,8
2014-11-07,26
2014-11-08,24
2014-11-09,22
2014-11-10,14
2014-11-11,46
2014-11-12,26
2014-11-13,21
2014-11-14,25
2014-11-15,30
2014-11-16,17
2014-11-17,19
2014-11-18,26
2014-11-19,28
2014-11-20,27
2014-11-21,31
2014-11-22,23
2014-11-23,34
2014-11-24,30
2014-11-25,8
2014-11-26,22
2014-11-27,19
2014-11-28,27
2014-11-29,25
2014-11-30,27
2014-12-01,32
2014-12-02,16
2014-12-03,14
2014-12-04,31
2014-12-05,6
2014-12-06,30
2014-12-07,31
2014-12-08,9
2014-12-09,8
2014-12-10,25
2014-12-11,28
2014-12-12,23
2014-12-13,12
2014-12-14,13
2014-12-15,14
2014-12-16,3
2014-12-17,20
2014-12-18,14
2014-12-19,25
2014-12-20,14
2014-12-21,31
2014-12-22,26
2014-12-23,7
2014-12-24,5
2014-12-25,34
2014-12-26,22
2014-12-27,29
2014-12-28,25
2014-12-29,31
2014-12-30,32
2014-12-31,29